business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
14512,wB3kLruvx91OJeXKXiSxEA,b_wB3kLruvx91OJeXKXiSxEA,39.9082136,-86.0488775,"39.9082136000,-86.0488775000",Ichiban Noodles,Indianapolis,IN
14513,tPYkrHdTsYe_-Ty5EPiP2Q,b_tPYkrHdTsYe_-Ty5EPiP2Q,39.761866,-86.145585,"39.7618660000,-86.1455850000",Iaria's Italian Restaurant,Indianapolis,IN
14514,l_mx_q740TLKBPCMa_mtJw,b_l_mx_q740TLKBPCMa_mtJw,39.6358464,-86.1227563,"39.6358464000,-86.1227563000",Thai Spice,Indianapolis,IN
14515,RdDLX9i5pp1nKOecMiGTcQ,b_RdDLX9i5pp1nKOecMiGTcQ,39.9130904,-86.1813717,"39.9130904000,-86.1813717000",Sawasdee Thai Cuisine,Indianapolis,IN
14516,WbCCGpq_XIr-2_jSXISZKQ,b_WbCCGpq_XIr-2_jSXISZKQ,39.7632371,-86.1454886,"39.7632371000,-86.1454886000",Milano Inn,Indianapolis,IN
14517,L_spYpnf75W6mQcIY-6OBA,b_L_spYpnf75W6mQcIY-6OBA,39.7521592,-86.1351458,"39.7521592000,-86.1351458000",Santorini Greek Kitchen,Indianapolis,IN
14518,KB-lnnyWsusCPTQ0KhYoaQ,b_KB-lnnyWsusCPTQ0KhYoaQ,39.8843885,-86.1215785,"39.8843885000,-86.1215785000",Sakura Japanese Restaurant,Indianapolis,IN
14519,COclRBaXBjYpomS4syUmvg,b_COclRBaXBjYpomS4syUmvg,39.870878,-86.1422438,"39.8708780000,-86.1422438000",Monon Coffee Company,Indianapolis,IN
14520,GwNCQAGXJxM_YVnaG61-iw,b_GwNCQAGXJxM_YVnaG61-iw,39.8705324,-86.142672,"39.8705324000,-86.1426720000",Corner Wine Bar,Indianapolis,IN
14521,KZQV3QuwDmMrWPIwkbOhKA,b_KZQV3QuwDmMrWPIwkbOhKA,39.9139123,-86.1093354,"39.9139123000,-86.1093354000",Crate & Barrel,Indianapolis,IN
14522,tz39BMSq06iHZLmULQdRdw,b_tz39BMSq06iHZLmULQdRdw,39.8830072,-86.0709375,"39.8830072000,-86.0709375000",GT South's Rib House,Indianapolis,IN
14523,F5hMvrCBhqpHX74D2FgZCg,b_F5hMvrCBhqpHX74D2FgZCg,39.7616203,-86.1586827,"39.7616203000,-86.1586827000",Slippery Noodle Inn,Indianapolis,IN
14524,V55PSC6ffUzXTsv7JFVOqQ,b_V55PSC6ffUzXTsv7JFVOqQ,39.7660616,-86.1583201,"39.7660616000,-86.1583201000",The Oceanaire Seafood Room,Indianapolis,IN
14525,2tzM3YrsqPa4qPVsfn3-tA,b_2tzM3YrsqPa4qPVsfn3-tA,39.7663169,-86.1607737,"39.7663169000,-86.1607737000",Hyatt Regency Indianapolis,Indianapolis,IN
14526,Lx9r_hXHRU9Cg5zwkOBxmA,b_Lx9r_hXHRU9Cg5zwkOBxmA,39.8803629,-86.0692719,"39.8803629000,-86.0692719000",La Hacienda Mexican Restaurant,Indianapolis,IN
