business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
19225,xXgE_rj-tK9v_MIH3mXpaQ,b_xXgE_rj-tK9v_MIH3mXpaQ,36.1869407,-86.7263529,"36.1869407000,-86.7263529000",Dee's Q,Nashville,TN
19226,8CSdj8LF593qwMcduzHglQ,b_8CSdj8LF593qwMcduzHglQ,36.136618,-86.7997594,"36.1366180000,-86.7997594000",Sunset Grill,Nashville,TN
19227,JjXEPAR_tf3VCdngVS9GMg,b_JjXEPAR_tf3VCdngVS9GMg,36.176468,-86.751932,"36.1764680000,-86.7519320000",The Turnip Truck Natural Market,Nashville,TN
19228,cBHzDxKCsosdDI4UR3w-eg,b_cBHzDxKCsosdDI4UR3w-eg,36.188465,-86.729553,"36.1884650000,-86.7295530000",The Family Wash,Nashville,TN
19229,tU692E8N0xBQ7Ogc78gN2g,b_tU692E8N0xBQ7Ogc78gN2g,36.1770378,-86.7496909,"36.1770378000,-86.7496909000",Bongo East + GamePoint,Nashville,TN
19230,OWOOc0YjU_kioLeEgo5VCA,b_OWOOc0YjU_kioLeEgo5VCA,36.035175,-86.972013,"36.0351750000,-86.9720130000",Loveless Cafe,Nashville,TN
19231,yqq1Fvt7WtduIO3GwjCP1Q,b_yqq1Fvt7WtduIO3GwjCP1Q,36.1384882,-86.8009663,"36.1384882000,-86.8009663000",Sportsman's Grille,Nashville,TN
19232,4bOqibZuKDbnOa-K0kM4Sg,b_4bOqibZuKDbnOa-K0kM4Sg,36.156701,-86.783869,"36.1567010000,-86.7838690000",Flying Saucer Draught Emporium,Nashville,TN
19233,1Pxg1AMf0rEn9QF__ZYoWw,b_1Pxg1AMf0rEn9QF__ZYoWw,36.1510902665,-86.8037759995,"36.1510902665,-86.8037759995",Samurai Sushi,Nashville,TN
19234,qiEX2ruSAfLLdS2Ia_l8VQ,b_qiEX2ruSAfLLdS2Ia_l8VQ,36.176631,-86.7503194,"36.1766310000,-86.7503194000",Beyond The Edge,Nashville,TN
19235,pnERnL4RdJe5gtTL8JIakw,b_pnERnL4RdJe5gtTL8JIakw,36.107175,-86.815912,"36.1071750000,-86.8159120000",The Mall at Green Hills,Nashville,TN
19236,VVqW2YUTPN0lbc34zAK4-A,b_VVqW2YUTPN0lbc34zAK4-A,36.1560616376,-86.7937225474,"36.1560616376,-86.7937225474",Play,Nashville,TN
19237,YkPGsrnK1sx7cjBYRUl9Ig,b_YkPGsrnK1sx7cjBYRUl9Ig,36.164224,-86.778734,"36.1642240000,-86.7787340000",Lonnie's Western Room,Nashville,TN
19238,0RxW0oN1s4zgNh6uiWVPZQ,b_0RxW0oN1s4zgNh6uiWVPZQ,36.112379,-86.7632481,"36.1123790000,-86.7632481000",Calypso Cafe,Nashville,TN
19239,-ZuicuSamsRhuJhZZp7Lkg,b_-ZuicuSamsRhuJhZZp7Lkg,36.106041167,-86.7621335058,"36.1060411670,-86.7621335058","Regal Hollywood 4DX, ScreenX & RPX - Nashville",Nashville,TN
19240,HI90gPApLuPdEhoyNuEhow,b_HI90gPApLuPdEhoyNuEhow,36.148262,-86.806415,"36.1482620000,-86.8064150000",Chili's,Nashville,TN
19241,PwbeSKSCBnqXJlAxEaUrnA,b_PwbeSKSCBnqXJlAxEaUrnA,36.1827471,-86.7352329,"36.1827471000,-86.7352329000",Rosepepper Mexican Grill,Nashville,TN
19242,aRnTDcpJcuLogQdOsycebg,b_aRnTDcpJcuLogQdOsycebg,36.177152,-86.749621,"36.1771520000,-86.7496210000",Edgefield Restaurant,Nashville,TN
19243,EXfIURX2NtTp_G1Lje3VaQ,b_EXfIURX2NtTp_G1Lje3VaQ,36.1765612,-86.7508693,"36.1765612000,-86.7508693000",Alleycat Lounge,Nashville,TN
19244,Ju25XEGy_NWi9heJX3FuZw,b_Ju25XEGy_NWi9heJX3FuZw,36.1775871,-86.7504176,"36.1775871000,-86.7504176000",Margot Cafe & Bar,Nashville,TN
19245,cMTchHZvXT0j_T2XtR5Mog,b_cMTchHZvXT0j_T2XtR5Mog,36.1783402,-86.7500641,"36.1783402000,-86.7500641000",Red Door East,Nashville,TN
19246,sXm5nP7B4QsSJrCSKBMCTg,b_sXm5nP7B4QsSJrCSKBMCTg,36.1767858,-86.7417695,"36.1767858000,-86.7417695000",Italia Pizza & Pasta,Nashville,TN
19247,o8H4fliNg1FYqw6noUzZzA,b_o8H4fliNg1FYqw6noUzZzA,36.1769521,-86.7457429,"36.1769521000,-86.7457429000",The Lipstick Lounge,Nashville,TN
19248,lkC8Y4BVss1kk_qIzUunQQ,b_lkC8Y4BVss1kk_qIzUunQQ,36.169236,-86.787791,"36.1692360000,-86.7877910000",Gardens of Babylon Landscapes,Nashville,TN
19249,Dd8X7CTLOvT5xuDNFXkXdQ,b_Dd8X7CTLOvT5xuDNFXkXdQ,36.1629711,-86.7753203,"36.1629711000,-86.7753203000",Graham Central Station,Nashville,TN
19250,D9s9S6zfP1VI7pGeLioqQQ,b_D9s9S6zfP1VI7pGeLioqQQ,36.136314,-86.8012261,"36.1363140000,-86.8012261000",Boscos: Restaurant & Brewing Co,Nashville,TN
19251,nTSXLSVKq1PhrcGFzjgiaw,b_nTSXLSVKq1PhrcGFzjgiaw,36.1708706,-86.7683113,"36.1708706000,-86.7683113000",Gerst Haus,Nashville,TN
19252,WrgdQF8kzvONbZctSPlF4A,b_WrgdQF8kzvONbZctSPlF4A,36.162124,-86.775627,"36.1621240000,-86.7756270000",Ichiban,Nashville,TN
19253,5cpiSREZioyiHVHXJ9WRqA,b_5cpiSREZioyiHVHXJ9WRqA,36.1640086619,-86.7784373214,"36.1640086619,-86.7784373214",Sam's Sushi Bar,Nashville,TN
19254,R-w5jNoaHSMlq2V9gHPAlQ,b_R-w5jNoaHSMlq2V9gHPAlQ,36.16295,-86.78081,"36.1629500000,-86.7808100000",Tazza,Nashville,TN
19255,Qjm-W7SpkCuTxacD10Wt2g,b_Qjm-W7SpkCuTxacD10Wt2g,36.1642643,-86.7812831,"36.1642643000,-86.7812831000",Rae's Gourmet Catering & Sandwich Shoppe,Nashville,TN
19256,H1QVoIgfovydsFfOZfuSPg,b_H1QVoIgfovydsFfOZfuSPg,36.161694,-86.774732,"36.1616940000,-86.7747320000",Big River Grille & Brewing Works,Nashville,TN
19257,jMMEjAmVVvdCp6StCUDZ-w,b_jMMEjAmVVvdCp6StCUDZ-w,36.1753835,-86.7574681,"36.1753835000,-86.7574681000",Weiss Liquors,Nashville,TN
19258,vvTaGfZe7A0XCkUWCeY8hw,b_vvTaGfZe7A0XCkUWCeY8hw,36.1768114,-86.7538546,"36.1768114000,-86.7538546000",Main Street Liquor Market,Nashville,TN
19259,Khv2xprJmMO69kjhr6g5Eg,b_Khv2xprJmMO69kjhr6g5Eg,36.151595,-86.8512699,"36.1515950000,-86.8512699000",Bobbie's Dairy Dip,Nashville,TN
19260,R6fcBIFBhfZx33z7qD0lqQ,b_R6fcBIFBhfZx33z7qD0lqQ,36.1408396,-86.8404327,"36.1408396000,-86.8404327000",Goldie's Deli,Nashville,TN
19261,qdUx7wxwnT80MkaqGCTfSQ,b_qdUx7wxwnT80MkaqGCTfSQ,36.1026661,-86.8189353,"36.1026661000,-86.8189353000",Noshville,Nashville,TN
19262,wNwNaaoMsaObsCwCENhs_A,b_wNwNaaoMsaObsCwCENhs_A,36.148501,-86.798614,"36.1485010000,-86.7986140000",Ken's Sushi Japanese Restaurant,Nashville,TN
19263,_mL3Bf0XwDLKvguY8vWr3w,b__mL3Bf0XwDLKvguY8vWr3w,36.131758,-86.7958059,"36.1317580000,-86.7958059000",International Market & Restaurant,Nashville,TN
19264,0qrSkugigIhLIN4_0onM5A,b_0qrSkugigIhLIN4_0onM5A,36.1548597,-86.7970941,"36.1548597000,-86.7970941000",Chappy's On Church,Nashville,TN
19265,nygT0OIMWCXSK6RBWcdQbQ,b_nygT0OIMWCXSK6RBWcdQbQ,36.1368193,-86.8011822,"36.1368193000,-86.8011822000",The Villager Tavern,Nashville,TN
19266,_owHO6DTYU-XVP8jAcgZFw,b__owHO6DTYU-XVP8jAcgZFw,36.1363499,-86.8014482,"36.1363499000,-86.8014482000",Sam's Sports Bar and Grill,Nashville,TN
19267,pSmOH4a3HNNpYM82J5ycLA,b_pSmOH4a3HNNpYM82J5ycLA,36.1369852,-86.8005383,"36.1369852000,-86.8005383000",The Pancake Pantry,Nashville,TN
19268,Yv6HUVu7fRMnt_NtGdVQBw,b_Yv6HUVu7fRMnt_NtGdVQBw,36.1529191,-86.7984549,"36.1529191000,-86.7984549000",Las Palmas Mexican Restaurant,Nashville,TN
19269,PlXN5XKMoZNu4K34tsQIcw,b_PlXN5XKMoZNu4K34tsQIcw,36.137062,-86.7784958,"36.1370620000,-86.7784958000",The Basement,Nashville,TN
19270,s3FRhtaNU8dt-mKkLKUQaQ,b_s3FRhtaNU8dt-mKkLKUQaQ,36.1518970081,-86.7848066755,"36.1518970081,-86.7848066755",RuSan's Sushi and Seafood,Nashville,TN
19271,4Ye_rSE-PiyWBZljASqwNQ,b_4Ye_rSE-PiyWBZljASqwNQ,36.1536717,-86.7979296,"36.1536717000,-86.7979296000",DaVinci's Gourmet Pizza,Nashville,TN
19272,TKzt7jlAgLRJe4vzQje1bA,b_TKzt7jlAgLRJe4vzQje1bA,36.1236801,-86.7901495,"36.1236801000,-86.7901495000",Portland Brew,Nashville,TN
19273,ByTZJsTDDhvOYKCj7uoy4w,b_ByTZJsTDDhvOYKCj7uoy4w,36.1271133,-86.7889412,"36.1271133000,-86.7889412000",Rumours Wine and Art Bar,Nashville,TN
19274,7pwFfnB6FH4lflXWrQ2Tqw,b_7pwFfnB6FH4lflXWrQ2Tqw,36.1610407,-86.7780154,"36.1610407000,-86.7780154000",Jack's Bar-B-Que,Nashville,TN
19275,4Cal2AE6cr7m6nL20Rz2kQ,b_4Cal2AE6cr7m6nL20Rz2kQ,36.1612472,-86.7784711,"36.1612472000,-86.7784711000",Ryman Auditorium,Nashville,TN
19276,ORL4JE6tz3rJxVqkdKfegA,b_ORL4JE6tz3rJxVqkdKfegA,36.2115923083,-86.6943191727,"36.2115923083,-86.6943191727",Gaylord Opryland Resort & Convention Center,Nashville,TN
19277,YO0Jx0qePo-uEgA8NXXBTw,b_YO0Jx0qePo-uEgA8NXXBTw,36.157774,-86.776391,"36.1577740000,-86.7763910000",Hatch Show Print,Nashville,TN
19278,d-9vXGzbI2eZAJWKb06h3A,b_d-9vXGzbI2eZAJWKb06h3A,36.1525264,-86.7845413,"36.1525264000,-86.7845413000",The Station Inn,Nashville,TN
