user_id,rel_id,business_id,ts
0,4,19225,0
0,4,19226,865
0,3,19227,2168
0,2,19228,3509
0,2,19229,15216
0,4,19230,15791
0,2,19231,15975
0,3,19232,16399
0,3,19233,1816296
0,2,19234,1819131
1,3,19235,18328564
1,4,19236,18329432
1,4,19237,18329913
1,3,19238,18413986
1,4,19239,18414170
1,0,19240,18414817
0,3,19241,21070515
0,3,19242,21071814
0,4,19243,21071991
0,4,19244,21072224
2,3,19243,21089888
2,4,19229,21090088
2,2,19245,21091090
2,3,19241,21091480
2,4,19246,21091763
2,3,19247,21091908
2,4,19248,21092000
2,2,19228,21092244
2,2,19234,21092469
2,2,19227,21094438
2,0,19249,21094996
2,4,19250,21095547
2,3,19251,21176302
2,4,19252,21252580
2,3,19253,21253431
2,3,19254,21257797
2,3,19255,21257938
2,2,19256,21259266
2,3,19257,21271511
2,0,19258,21271589
3,4,19259,21702179
3,4,19244,21729510
3,4,19230,21729658
3,4,19260,21820241
3,0,19261,21820794
3,4,19262,21820888
0,2,19263,29104581
0,4,19264,29641549
0,4,19247,29642852
0,4,19246,29643867
0,2,19265,29727168
0,1,19266,29731995
0,3,19250,29732242
0,4,19267,29732903
0,2,19268,29733150
0,4,19269,29733465
0,3,19270,29734949
0,3,19271,29735140
0,2,19272,29735556
0,0,19273,29736018
4,3,19274,30504042
4,4,19275,30504264
4,3,19276,30504785
4,4,19277,30504993
4,4,19278,30542470
5,4,19279,30829874
6,4,19280,31031081
2,1,19266,31459325
2,2,19280,31459609
2,2,19281,31459801
2,1,19282,31463264
2,4,19283,31463427
2,1,19284,31463692
7,2,19285,32402206
8,3,19274,32744638
8,1,19286,32744801
8,2,19230,32752894
8,3,19287,32753183
8,4,19288,32753397
0,4,19289,32760726
0,3,19290,34922427
0,2,19291,34923022
0,3,19292,34940381
0,4,19293,34940586
0,2,19294,34942470
0,1,19295,34942829
9,4,19296,35690319
9,3,19297,35690497
9,2,19284,35701141
10,4,19244,36191552
10,2,19298,36225178
11,4,19289,36913063
12,3,19299,37022695
12,4,19274,37023441
12,2,19300,37023719
11,4,19244,37434597
11,3,19230,37673352
11,4,19301,37674807
13,2,19302,39335812
13,4,19303,39335977
13,3,19304,39421232
13,2,19272,39421324
13,3,19238,39421488
13,4,19267,39596548
14,3,19241,41138814
14,3,19228,41139994
14,3,19234,41140753
14,4,19305,41142842
14,1,19306,41143195
14,3,19307,41143347
14,3,19308,41143713
14,3,19309,41144283
14,3,19310,41145062
14,3,19311,41145317
14,4,19312,41156549
14,2,19313,41158905
10,4,19314,41324445
11,4,19274,41665353
13,3,19315,41840774
1,4,19316,41924394
1,4,19247,41924709
11,4,19267,41941439
15,4,19314,42901670
15,4,19317,42902851
15,4,19318,42903301
15,4,19319,42903558
16,4,19250,42905753
7,4,19244,43489936
7,2,19270,43490193
