business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
15196,6Elosz30YlUT3PTGF_Kwew,b_6Elosz30YlUT3PTGF_Kwew,39.519801,-119.809656,"39.5198010000,-119.8096560000",Nick's Greek Deli,Reno,NV
15197,z1MnC6bLjDjJqcUwCafRJQ,b_z1MnC6bLjDjJqcUwCafRJQ,39.5200396,-119.8107996,"39.5200396000,-119.8107996000",Newman's Deli,Reno,NV
15198,4F1R76dMsFLD-jJw-TZrWg,b_4F1R76dMsFLD-jJw-TZrWg,39.5141641484,-119.8546600342,"39.5141641484,-119.8546600342",Washoe Steakhouse,Reno,NV
15199,a3p47WxYVo0BZGJoP1O0qA,b_a3p47WxYVo0BZGJoP1O0qA,39.5198435,-119.8152069,"39.5198435000,-119.8152069000",My Favorite Muffin,Reno,NV
15200,QCaidu0NAS_sseca_xe4hQ,b_QCaidu0NAS_sseca_xe4hQ,39.5071366,-119.8591683,"39.5071366000,-119.8591683000",Walden's Coffeehouse,Reno,NV
15201,myKiQiaRJsPfYnlSW7_qEQ,b_myKiQiaRJsPfYnlSW7_qEQ,39.524427,-119.812636,"39.5244270000,-119.8126360000",Dreamer's Coffee House,Reno,NV
15202,VrM4A497lwRQql_7kuSLaA,b_VrM4A497lwRQql_7kuSLaA,39.4830706,-119.8542661,"39.4830706000,-119.8542661000",Green Papaya,Reno,NV
15203,QhxtQppYwOCKjExMftCa9Q,b_QhxtQppYwOCKjExMftCa9Q,39.5276141,-119.8124754,"39.5276141000,-119.8124754000",Harrah's Steak House,Reno,NV
15204,fGJXCvSkSbUdwWMm2bg9Iw,b_fGJXCvSkSbUdwWMm2bg9Iw,39.534719,-119.8625037,"39.5347190000,-119.8625037000",Keva Juice,Reno,NV
15205,lQRtke5P1BSZH-YIdWHBFg,b_lQRtke5P1BSZH-YIdWHBFg,39.5271666196,-119.8295434663,"39.5271666196,-119.8295434663",Port of Subs,Reno,NV
15206,vHr8qhM4CXYB3Ol_9yS6QQ,b_vHr8qhM4CXYB3Ol_9yS6QQ,39.5044132847,-119.783673119,"39.5044132847,-119.7836731190",Sushi Pier,Reno,NV
15207,RGVyb36fh2M2BTTUYxURLg,b_RGVyb36fh2M2BTTUYxURLg,39.5427073471,-119.8575133526,"39.5427073471,-119.8575133526",The Blind Onion Pizza & Pub,Reno,NV
15208,EO5ne2jClfd16Sus5D6i6A,b_EO5ne2jClfd16Sus5D6i6A,39.488612126,-119.7943970854,"39.4886121260,-119.7943970854",Atlantis Sky Terrace Sushi Bar,Reno,NV
15209,55Q1klIhnn7tcJ6inLtwiw,b_55Q1klIhnn7tcJ6inLtwiw,39.5249352,-119.8159887,"39.5249352000,-119.8159887000",The Jungle,Reno,NV
15210,SXtpXRimPIqnFin1TmfWjA,b_SXtpXRimPIqnFin1TmfWjA,39.5205184,-119.8172874,"39.5205184000,-119.8172874000",The Chocolate Bar,Reno,NV
15211,BnzAXu_3S2CRQOG_vMIYRw,b_BnzAXu_3S2CRQOG_vMIYRw,39.52795,-119.818981,"39.5279500000,-119.8189810000",Sands Regency,Reno,NV
15212,Shp9xxBbDyTR6__nVh4XQA,b_Shp9xxBbDyTR6__nVh4XQA,39.5300067,-119.8222795,"39.5300067000,-119.8222795000",Beto's Mexican Food,Reno,NV
15213,4VXVP21v4Xec6C2mnnBnGw,b_4VXVP21v4Xec6C2mnnBnGw,39.5490192263,-119.8217086022,"39.5490192263,-119.8217086022",Archie's Giant Hamburgers & Breakfast,Reno,NV
15214,LbhraX3qY94g3Xn2Havbpg,b_LbhraX3qY94g3Xn2Havbpg,39.527503,-119.813859,"39.5275030000,-119.8138590000",Little Nugget Diner,Reno,NV
15215,PY9GRfzr4nTZeINf346QOw,b_PY9GRfzr4nTZeINf346QOw,39.4976865,-119.801139,"39.4976865000,-119.8011390000",Peppermill Reno,Reno,NV
15216,NGR_aVWJ-W_KHvBDrmFP1A,b_NGR_aVWJ-W_KHvBDrmFP1A,39.4889497,-119.7937189,"39.4889497000,-119.7937189000",Atlantis Toucan Charlie's Buffet & Grille,Reno,NV
15217,CRrKt_OSlTXhOQ4VhONMkg,b_CRrKt_OSlTXhOQ4VhONMkg,39.5367723,-119.823045,"39.5367723000,-119.8230450000",Pub N' Sub,Reno,NV
15218,-KyQ_Bu21JNphNtxz-Jj-g,b_-KyQ_Bu21JNphNtxz-Jj-g,39.4908877,-119.8064971067,"39.4908877000,-119.8064971067",Palais De Jade,Reno,NV
15219,hT5UJB4LmoB6MTeDZIi1BA,b_hT5UJB4LmoB6MTeDZIi1BA,39.481169,-119.790021,"39.4811690000,-119.7900210000",La Michoacana,Reno,NV
15220,lm2ZtQMo_CjTI4LFcxsDfA,b_lm2ZtQMo_CjTI4LFcxsDfA,39.5312487,-119.8639423,"39.5312487000,-119.8639423000",QDOBA Mexican Eats,Reno,NV
15221,iMwGQGatecLjyFNMElT04w,b_iMwGQGatecLjyFNMElT04w,39.3890590682,-119.7519,"39.3890590682,-119.7519000000",Pita Pita,Reno,NV
15222,5xLdPLDMN7XE4MemqBzZFA,b_5xLdPLDMN7XE4MemqBzZFA,39.486772,-119.797798,"39.4867720000,-119.7977980000",Beads Etc,Reno,NV
15223,uTqmZj3IVvdXD99r3-kJxA,b_uTqmZj3IVvdXD99r3-kJxA,39.5208903,-119.8132857,"39.5208903000,-119.8132857000",Nevada Museum of Art,Reno,NV
15224,JFR7UjKjFUE80vO3EhIX-Q,b_JFR7UjKjFUE80vO3EhIX-Q,39.5196729,-119.8116762,"39.5196729000,-119.8116762000",El Salvador Restaurant,Reno,NV
15225,ETnvA_wamDJMtssoIuwwRA,b_ETnvA_wamDJMtssoIuwwRA,39.5304383,-119.8147424,"39.5304383000,-119.8147424000",Victorian Buffet,Reno,NV
15226,rSYyGcZZziJLsqKl5hMcDw,b_rSYyGcZZziJLsqKl5hMcDw,39.5322014,-119.815363,"39.5322014000,-119.8153630000",Circus Circus Reno,Reno,NV
15227,yGvPhL8LwQtyCtMrAgIvBA,b_yGvPhL8LwQtyCtMrAgIvBA,39.329053,-119.88537,"39.3290530000,-119.8853700000",Mt Rose Ski Tahoe,Reno,NV
15228,VL8K7R-rlGbvsGKS8zfouA,b_VL8K7R-rlGbvsGKS8zfouA,39.530503093,-119.8153366415,"39.5305030930,-119.8153366415",Rum Bullions Island Bar,Reno,NV
15229,t2izgfztTqDdkSWW3WIeXA,b_t2izgfztTqDdkSWW3WIeXA,39.5476387,-119.8217111,"39.5476387000,-119.8217111000",Little Waldorf Saloon,Reno,NV
15230,ASv8LOQ4Yz79FsKt8mqzqg,b_ASv8LOQ4Yz79FsKt8mqzqg,39.534283,-119.869385,"39.5342830000,-119.8693850000",Bully's Sports Bar & Grill,Reno,NV
