user_id,friend_user_id
5865,180
5865,3506
5865,2
5865,267
5865,199
5865,750
5865,104
5865,15101
5865,44
5865,2295
5865,5190
5865,107
5865,857
5865,92
5865,163
5865,175
5865,29
5865,1294
5865,3338
5865,271
5865,1906
5865,79
5865,89
5865,25
5865,3080
5865,2072
5865,69
5865,10
5865,182
5865,790
5865,2392
5865,14701
5865,3209
5865,4292
5865,15
5865,149
5865,161
5865,11496
5865,218
5865,15109
5865,1018
5865,391
5865,2437
5865,118
5865,24
5865,62
5865,504
5865,1014
5865,255
5865,329
5865,523
5865,166
5865,61
5865,49
5865,949
5865,153
5865,2516
5865,78
5865,428
5865,833
5865,2558
5865,11
5865,2550
5865,32
5865,1177
5865,6324
5865,751
5865,196
5865,183
5865,2167
5865,83
5865,2500
5865,9774
5865,75
5865,22
5865,66
5865,3787
5865,985
5865,3969
5865,154
5865,57
5865,3970
5865,33
5865,3621
5865,37
5865,635
5865,80
5865,642
5865,113
5865,31
5865,19
5865,4549
5865,139
5865,165
5865,121
5865,520
5865,17
5865,2465
5865,587
5865,8375
308,1567
308,3787
308,10976
308,536
308,1701
308,3328
308,345
308,4142
308,7927
308,254
308,3590
308,103
308,48
308,4386
308,2604
308,3681
308,200
308,1183
308,7499
308,6801
308,312
308,3734
526,521
526,275
526,96
526,2186
526,5345
526,185
526,766
526,2165
526,4266
526,273
526,157
1414,1848
1414,1567
1414,9906
1414,7116
1414,926
1414,242
1414,302
1414,163
3787,717
3787,1418
3787,163
3787,231
3787,12
3787,302
3787,2465
3787,504
3787,6764
3787,5701
3787,150
3787,639
3787,208
3787,4266
3787,1706
3787,130
3787,613
3787,12141
3787,3632
3787,477
3787,1183
3787,777
3787,5865
3787,2061
3787,79
3787,212
3787,293
3787,493
3787,21
3787,22
3787,4867
3787,6801
3787,17
3787,3151
3787,185
3787,11624
3787,790
3787,587
3787,218
3787,273
3787,814
3787,308
3787,33
3787,1359
3787,4673
3787,847
3787,1177
3787,296
3787,610
3787,3621
3787,432
3787,75
3787,255
3787,846
3787,1431
3787,4262
3787,1225
3787,2500
3787,553
3787,15
3787,310
3787,2639
3787,282
3787,987
3787,48
3787,509
3787,616
3787,4951
3787,167
3787,2608
3787,5630
3787,2993
3787,655
3787,4725
3787,171
3787,1219
3787,28
3787,336
3787,463
3787,1701
3787,190
3787,2692
3787,1354
3787,513
3787,2132
3787,61
3787,833
3787,165
3787,170
3787,157
3787,7775
3787,86
3787,1002
3787,2558
3787,8375
3787,435
3787,192
3787,15082
3787,4203
3787,1393
3787,642
3787,345
3787,4050
3787,196
3787,305
3787,429
3787,13795
3787,460
3787,31
3787,317
3787,2072
3787,1053
3787,449
3787,96
3787,2075
3787,2055
3787,148
3787,29
3787,193
3787,382
3787,2576
3787,2069
3787,341
3787,180
3787,2550
3787,254
3787,7927
3787,314
3787,11839
3787,1831
3787,3970
3787,3688
3787,2295
3787,37
3787,329
3787,103
3787,3338
3787,116
3787,122
3787,377
3787,4349
3787,912
7,2041
7,4725
7,10
7,341
7,218
7,1
7,2280
7,10212
7,2962
7,129
7,11702
7,170
7,7927
7,116
7,4958
7,5158
7,2186
7,3698
7,8554
7,1164
7,4824
7,130
7,2997
7,11323
426,185
426,314
426,6764
1302,216
1302,3970
1302,1860
1302,5407
1302,4386
500,45
500,1317
500,185
500,2534
500,314
500,44
500,597
500,130
500,2165
500,432
500,884
33,589
33,163
33,1
33,4867
33,329
33,1183
33,1958
33,79
33,254
33,1359
33,3787
33,336
33,5865
33,11839
33,1567
33,521
33,17
33,10774
33,833
33,15
33,4691
33,3738
33,1561
33,30
33,10976
33,192
33,1918
33,216
33,1177
33,432
33,196
33,477
33,8808
33,4048
33,4142
33,3632
33,8267
33,4266
33,7255
33,3144
33,11732
33,6677
33,190
33,15136
33,2604
33,5732
33,6950
33,140
33,6339
33,7761
33,9906
33,3734
33,7330
33,6764
33,5835
33,3303
33,1014
33,4673
33,4916
33,1888
33,11009
33,7523
33,170
33,10607
33,6028
33,2272
33,513
33,767
33,4463
33,3423
33,7722
33,2186
33,14871
33,13580
33,7927
33,610
33,4386
33,48
33,1547
33,4424
33,62
33,2516
33,22
33,642
33,123
33,3087
33,8730
33,2465
33,2500
33,1831
33,2055
33,4230
33,1431
33,3698
33,360
33,454
33,3589
33,28
33,9782
33,2165
33,6944
33,8007
33,4259
33,3215
33,2558
33,31
33,2673
33,11987
33,10657
33,8371
33,15091
33,207
33,129
33,5421
33,12966
1181,1682
1181,4386
1181,5056
1181,37
1181,6169
1181,1794
1181,7807
1181,3206
1181,2931
1181,1918
1181,1765
1181,4958
1181,6898
1181,2369
1181,5769
1181,6028
1181,6507
1181,610
1181,9490
1181,1958
1181,2838
1181,4301
1181,4317
1181,8834
1181,10657
1181,3734
1181,10904
1181,13831
1181,4318
1181,4899
1181,4796
1181,7347
1181,5878
1181,7606
1534,1359
1534,1
1534,1070
1534,267
1534,2500
1534,4673
1534,1420
1534,273
1534,9005
1534,2872
1534,415
1534,3144
1534,1694
1534,4958
435,1561
435,2692
435,163
435,2534
435,110
435,365
435,4951
435,12191
435,15101
435,3787
435,345
435,4386
435,4842
435,3589
435,3734
435,3534
435,4266
435,1550
435,3614
435,129
435,123
435,3325
435,6028
435,1008
435,10904
435,15098
435,4691
435,4867
435,2069
435,6507
435,2272
435,1567
435,231
435,8833
435,8387
435,5694
435,8834
435,11987
1207,4673
1207,80
1207,267
1207,8007
1207,1067
1207,1912
1207,10233
1207,4589
1207,271
1207,2516
1207,9250
1207,165
1207,2992
1207,6448
1207,12083
1207,4913
