user_id,rel_id,business_id,ts
0,2,15196,0
0,2,15197,51163
0,3,15198,2159104
0,2,15199,2159218
0,3,15200,2159847
0,3,15201,2835900
0,3,15202,2836725
0,4,15203,2836990
0,2,15204,3970993
1,4,15205,15982598
2,3,15206,17801034
2,3,15207,17860671
2,2,15208,17861127
2,2,15209,19158167
2,3,15210,19159099
2,3,15211,19159295
2,3,15212,19159856
3,4,15206,19346616
4,4,15206,19363950
4,4,15213,19364600
2,4,15213,19549033
5,4,15214,19784728
5,4,15215,19784951
5,4,15216,19785238
4,4,15217,19980466
2,3,15218,20210762
4,0,15219,20737518
4,3,15207,20987354
4,0,15220,22145072
4,3,15221,22146885
4,4,15222,22147994
0,4,15223,24059181
2,0,15224,24550620
6,2,15216,25021712
6,1,15225,25021960
6,2,15226,25022408
7,4,15227,25303293
4,2,15228,25580034
4,3,15229,25635348
6,3,15215,25680060
6,4,15205,25680327
8,0,15206,27093100
1,4,15230,27891087
9,3,15231,28757230
10,3,15232,32127915
10,4,15233,32128504
10,3,15234,32129236
10,2,15199,32196788
10,2,15210,32197146
10,3,15235,32197581
10,3,15236,32198583
10,3,15237,32199253
10,2,15238,32200166
10,3,15207,32200635
10,3,15239,32637405
11,4,15240,34899911
12,1,15226,37481956
12,4,15241,37482436
10,2,15242,37674862
10,3,15216,39361094
10,4,15243,39362292
10,3,15244,39367899
10,3,15245,39370174
10,3,15246,39452041
10,2,15247,39453239
10,3,15248,39453610
10,2,15249,39454311
10,3,15250,39456982
10,3,15251,39457493
10,3,15252,39471442
10,3,15253,39473140
10,3,15254,39565898
10,2,15255,39662840
10,3,15256,39889992
10,1,15257,39890824
10,3,15258,39897878
10,1,15259,39977499
10,3,15260,39984353
10,3,15261,40318967
10,2,15262,40320023
10,3,15263,40488123
10,3,15264,40489084
10,2,15265,41098690
10,2,15266,41100243
10,3,15267,41104361
13,3,15268,41123323
10,2,15269,41194319
10,2,15270,41787449
10,2,15271,41788845
10,3,15272,41805589
14,2,15273,41915242
15,2,15274,42155167
15,2,15275,42177764
15,2,15268,42178284
15,2,15215,42178673
15,3,15276,42179354
15,2,15271,42180200
16,3,15277,42343239
16,3,15260,42343375
16,2,15230,42343555
