business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
10675,I13c2-Yo7hn2BKwCI81HSQ,b_I13c2-Yo7hn2BKwCI81HSQ,38.59159,-90.29389,"38.5915900000,-90.2938900000",Bellacino's Pizza & Grinders,Saint Louis,MO
10676,p6JxfR9ebAlIlpm674F-dg,b_p6JxfR9ebAlIlpm674F-dg,38.6495456873,-90.3004635439,"38.6495456873,-90.3004635439",Kaldi's Coffee Roasting,Saint Louis,MO
10677,ohs__H1zNoF4CAjrK1s3IA,b_ohs__H1zNoF4CAjrK1s3IA,38.586802,-90.276549,"38.5868020000,-90.2765490000",Lily's Mexican Restaurant,Saint Louis,MO
10678,8ZFC_TnP_hAsn0rgoK7KAA,b_8ZFC_TnP_hAsn0rgoK7KAA,38.5700361,-90.2533917,"38.5700361000,-90.2533917000",Chimichangas Mexican Restaurant,Saint Louis,MO
10679,p24n1vScP_MHxJVPrao-jA,b_p24n1vScP_MHxJVPrao-jA,38.6277365,-90.2932686,"38.6277365000,-90.2932686000",Cairdeas Coffee,Saint Louis,MO
10680,KWh_hyPZjJDEuzBmRJLF6A,b_KWh_hyPZjJDEuzBmRJLF6A,38.6559181,-90.3029439,"38.6559181000,-90.3029439000",Riddle's Penultimate Cafe & Wine Bar,Saint Louis,MO
10681,GV-e7Op4aU98xkjjoKlRhA,b_GV-e7Op4aU98xkjjoKlRhA,38.6184272,-90.2741883,"38.6184272000,-90.2741883000",Modesto Tapas Bar & Restaurant,Saint Louis,MO
10682,o2uKA4DbVaM2Daha0lVX9w,b_o2uKA4DbVaM2Daha0lVX9w,38.6194079,-90.2739469,"38.6194079000,-90.2739469000",Pop's Blue Moon,Saint Louis,MO
10683,oARO_YL29khMPJE5fVlLog,b_oARO_YL29khMPJE5fVlLog,38.6714712,-90.4392362,"38.6714712000,-90.4392362000",Provisions Gourmet Market,Saint Louis,MO
10684,qsuoiCiQQWH46D4kWGB7Ag,b_qsuoiCiQQWH46D4kWGB7Ag,38.7257047,-90.3582508,"38.7257047000,-90.3582508000",Las Palmas Mexican Restaurant,Saint Louis,MO
10685,Yvft9JHTRTIB2bgs4OZxsA,b_Yvft9JHTRTIB2bgs4OZxsA,38.690635,-90.381886,"38.6906350000,-90.3818860000",Las Palmas Mexican Restaurant,Saint Louis,MO
10686,PwiFfUAwzDXbMGt0OnrB-g,b_PwiFfUAwzDXbMGt0OnrB-g,38.6334604,-90.3191441,"38.6334604000,-90.3191441000",Harvest,Saint Louis,MO
10687,WzpWEuVWY-6Xh37wc44GiA,b_WzpWEuVWY-6Xh37wc44GiA,38.603495,-90.2177833,"38.6034950000,-90.2177833000",Sidney Street Cafe,Saint Louis,MO
10688,JkBiCY04rSSAa7qrawqUsg,b_JkBiCY04rSSAa7qrawqUsg,38.5908453708,-90.3396156425,"38.5908453708,-90.3396156425",The Boardwalk Cafe,Saint Louis,MO
10689,8YDJraW_cg5IPTPisPfB-A,b_8YDJraW_cg5IPTPisPfB-A,38.6336738558,-90.2006975021,"38.6336738558,-90.2006975021",City Museum,Saint Louis,MO
10690,-Xld662dL8WxrwP--bclIQ,b_-Xld662dL8WxrwP--bclIQ,38.651249,-90.339571,"38.6512490000,-90.3395710000",Miso On Meramec,Saint Louis,MO
10691,6JaHpWSKuJgTQTmxHxPe3A,b_6JaHpWSKuJgTQTmxHxPe3A,38.64853,-90.32746,"38.6485300000,-90.3274600000",Firestone Complete Auto Care,Saint Louis,MO
10692,WKjAuVKf-xK3tsXk-vt7vg,b_WKjAuVKf-xK3tsXk-vt7vg,38.6130539,-90.3636913,"38.6130539000,-90.3636913000",Lampert's Plush Pig BBQ,Saint Louis,MO
10693,X6ry8WkgUyBNPpNxIGpn5g,b_X6ry8WkgUyBNPpNxIGpn5g,38.6917328,-90.3950525,"38.6917328000,-90.3950525000",Ms. Piggies Smokehouse,Saint Louis,MO
10694,TtyEDhjxOU60y0AE2pGdWg,b_TtyEDhjxOU60y0AE2pGdWg,38.631079,-90.1884358,"38.6310790000,-90.1884358000",J F Sanfilippo's Italian Restaurant,Saint Louis,MO
10695,0QYWhij_YZ7Lyk9F6213Sg,b_0QYWhij_YZ7Lyk9F6213Sg,38.599449,-90.24299,"38.5994490000,-90.2429900000",Pho Grand Restaurant,Saint Louis,MO
10696,Dty7fGIonmXOmvZhnMAOQQ,b_Dty7fGIonmXOmvZhnMAOQQ,38.6014346,-90.2426266,"38.6014346000,-90.2426266000",Mangia Italiano,Saint Louis,MO
10697,uqXYVxIwoEsFFjEHBlMZQA,b_uqXYVxIwoEsFFjEHBlMZQA,38.5912237213,-90.3411353542,"38.5912237213,-90.3411353542",Cyrano's,Saint Louis,MO
10698,AjxjKRNin477A7nKAZciGg,b_AjxjKRNin477A7nKAZciGg,38.6076212,-90.2099776,"38.6076212000,-90.2099776000",McGurk's,Saint Louis,MO
10699,l8gsO8mMoVF7vqTDUNGeZw,b_l8gsO8mMoVF7vqTDUNGeZw,38.6256744,-90.1892739,"38.6256744000,-90.1892739000",Gateway Arch National Park,Saint Louis,MO
10700,2QWJsN0yk0FkkSUO_xVMKw,b_2QWJsN0yk0FkkSUO_xVMKw,38.6487265,-90.3273234,"38.6487265000,-90.3273234000",Imo's Pizza,Saint Louis,MO
10701,mYTr8yUaoQY-9oDPmQHPiA,b_mYTr8yUaoQY-9oDPmQHPiA,38.61737,-90.1955767,"38.6173700000,-90.1955767000",Eat-Rite Diner,Saint Louis,MO
10702,EFql1oIf5JKaet3SdEpIQA,b_EFql1oIf5JKaet3SdEpIQA,38.630873,-90.18532,"38.6308730000,-90.1853200000",Morgan Street Brewery,Saint Louis,MO
10703,5vb5EPOdgUafr3ZP84Hbpw,b_5vb5EPOdgUafr3ZP84Hbpw,38.6210099,-90.1939383,"38.6210099000,-90.1939383000",Paddy O's,Saint Louis,MO
10704,SyAYFxPBjuaHajx9iE7wLQ,b_SyAYFxPBjuaHajx9iE7wLQ,38.634959,-90.348097,"38.6349590000,-90.3480970000",Saint Louis Galleria,Saint Louis,MO
