user_id,raw_user_id,entity
0,DOFamdMaC_hjn9zg3Gs-0w,u_DOFamdMaC_hjn9zg3Gs-0w
1,b7ceiS47nxb4p92JAR8iqw,u_b7ceiS47nxb4p92JAR8iqw
2,-qoyKSF2G3PkR_7XNoJfpQ,u_-qoyKSF2G3PkR_7XNoJfpQ
3,F4cbJPyoF1nd3S7Rqz72vw,u_F4cbJPyoF1nd3S7Rqz72vw
4,AuXICYKDCopDrvjy72UVfw,u_AuXICYKDCopDrvjy72UVfw
5,3xX-Et9I4Bi4wdRPWJkAFg,u_3xX-Et9I4Bi4wdRPWJkAFg
6,5-giAfQshjM4ASeD-5TI2w,u_5-giAfQshjM4ASeD-5TI2w
7,7rK9GO6D00V6Fzvh7oUQWw,u_7rK9GO6D00V6Fzvh7oUQWw
8,UzUnpnlH1n346MDgaFMOmw,u_UzUnpnlH1n346MDgaFMOmw
9,XN7GVORBtwkcq4zfhIALqg,u_XN7GVORBtwkcq4zfhIALqg
10,kORGcgi0Iw2RG8gJl84MVA,u_kORGcgi0Iw2RG8gJl84MVA
11,l_eOaEgbOxmy3K1Nbr3Apw,u_l_eOaEgbOxmy3K1Nbr3Apw
12,z-KkYvu4klkBOSUfgKoTJQ,u_z-KkYvu4klkBOSUfgKoTJQ
13,CAlzkAY3BUundz-c7DCMeQ,u_CAlzkAY3BUundz-c7DCMeQ
14,AIvveD8AcYnPqYE_VEn8Bw,u_AIvveD8AcYnPqYE_VEn8Bw
15,Pli2_ay_Ur4QF3Vp9D0cNA,u_Pli2_ay_Ur4QF3Vp9D0cNA
16,OGa2q6LvuQLYFUG_RCcALw,u_OGa2q6LvuQLYFUG_RCcALw
17,fnBAgDX4D9mNgQZsjFCoog,u_fnBAgDX4D9mNgQZsjFCoog
18,T0gWkTHWRChVUe_Dn1F8nw,u_T0gWkTHWRChVUe_Dn1F8nw
19,16bmaGpCAqZB0PzjLTADWA,u_16bmaGpCAqZB0PzjLTADWA
20,19MQQFLbpI5z6PYhHrG2mg,u_19MQQFLbpI5z6PYhHrG2mg
21,qjkOmSEFFEeWVTtsIl0aAw,u_qjkOmSEFFEeWVTtsIl0aAw
22,A94ivfwchCxwN4rcdoeuJQ,u_A94ivfwchCxwN4rcdoeuJQ
23,DecNq9BYtMwHhgdnPNGbVQ,u_DecNq9BYtMwHhgdnPNGbVQ
24,HVk4LFXU_R6ShQr1bT2TKQ,u_HVk4LFXU_R6ShQr1bT2TKQ
25,9agfrDKFP3QXgMZgPtWvBg,u_9agfrDKFP3QXgMZgPtWvBg
26,4XpPfy4-ic1tb6Yuh-BdRg,u_4XpPfy4-ic1tb6Yuh-BdRg
27,kX7v9yOAs-BZ86zAldZC9Q,u_kX7v9yOAs-BZ86zAldZC9Q
28,4gs09o630_X9CdmdZUUWMA,u_4gs09o630_X9CdmdZUUWMA
29,WJnyWEe_YK7JO47fcovBVw,u_WJnyWEe_YK7JO47fcovBVw
30,TMLVzNYs-zwwREudyvI08A,u_TMLVzNYs-zwwREudyvI08A
