business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
10635,U3grYFIeu6RgAAQgdriHww,b_U3grYFIeu6RgAAQgdriHww,34.4037593,-119.6939922,"34.4037593000,-119.6939922000",Brophy Bros - Santa Barbara,Santa Barbara,CA
10636,Aes-0Q_guDeYewMapFs_vg,b_Aes-0Q_guDeYewMapFs_vg,34.410291545,-119.6865421917,"34.4102915450,-119.6865421917",Longboard's Grill,Santa Barbara,CA
10637,CziOtnFSklimJnBgksDDwA,b_CziOtnFSklimJnBgksDDwA,34.419107,-119.699243,"34.4191070000,-119.6992430000",Pascucci,Santa Barbara,CA
10638,29YqJwOGEuAWqlHZxMc1OA,b_29YqJwOGEuAWqlHZxMc1OA,34.4200355,-119.6968511,"34.4200355000,-119.6968511000",Paradise Cafe,Santa Barbara,CA
10639,6RBZfirnzE4NahJTn1UPNA,b_6RBZfirnzE4NahJTn1UPNA,34.4279428,-119.6872838,"34.4279428000,-119.6872838000",La Super-Rica Taqueria,Santa Barbara,CA
10640,jssubXBNkiSJIhbKuDtmpQ,b_jssubXBNkiSJIhbKuDtmpQ,34.4185472,-119.7059044,"34.4185472000,-119.7059044000",Sushi Teri House,Santa Barbara,CA
10641,bSfDI69RkUrodsA1QwgnOg,b_bSfDI69RkUrodsA1QwgnOg,34.4181393671,-119.6984343008,"34.4181393671,-119.6984343008",Wildcat Lounge,Santa Barbara,CA
10642,DqVpNtgFCP47n6frh-LREA,b_DqVpNtgFCP47n6frh-LREA,34.4207686737,-119.6991676593,"34.4207686737,-119.6991676593",El Paseo Mexican Restaurant,Santa Barbara,CA
10643,AmAc0eD6lyVyb7QdOAO1Mg,b_AmAc0eD6lyVyb7QdOAO1Mg,34.4237983504,-119.705293234,"34.4237983504,-119.7052932340",Soho Restaurant & Music Club,Santa Barbara,CA
10644,yE8r8JXplgnr4XxRivkdLw,b_yE8r8JXplgnr4XxRivkdLw,34.423621,-119.705492,"34.4236210000,-119.7054920000",Chef Karim's Restaurant,Santa Barbara,CA
