user_id,rel_id,business_id,ts
0,4,10635,0
0,1,10636,140
0,2,10637,1676
0,4,10638,2998
0,3,10639,3729
0,3,10640,9378
0,4,10641,9507
1,3,10642,1827978
1,3,10643,1828073
1,3,10644,1828132
1,3,10645,1828266
1,4,10646,1828403
1,4,10647,1837062
2,4,10648,2428339
2,4,10635,2429095
2,0,10649,2429801
2,3,10650,2536591
2,2,10651,2537268
2,1,10652,6061155
3,4,10653,8383588
3,4,10654,8469762
4,3,10637,16932335
4,3,10655,16932594
5,1,10656,17726869
5,4,10645,17727351
5,3,10657,17727627
5,3,10658,17727959
5,2,10635,17728851
5,4,10638,17805694
6,3,10659,21975871
6,4,10654,21976273
6,3,10660,21976328
6,2,10636,21976362
6,4,10647,21976407
6,2,10661,21976446
6,2,10637,21976516
6,3,10642,21976589
6,3,10662,26310597
7,3,10651,27848353
7,2,10663,27848456
7,2,10652,27850555
7,4,10664,27851855
7,3,10665,27851966
7,2,10666,27852255
8,4,10667,29166399
8,3,10668,29166507
8,4,10669,29166545
8,4,10670,29166628
8,4,10671,29484420
9,3,10635,29548436
9,4,10672,29555855
9,3,10673,29571913
9,3,10674,29658821
9,3,10675,29902137
9,3,10676,29902959
9,3,10677,30074369
8,4,10635,30195586
4,3,10678,30243265
4,3,10679,30243525
8,4,10680,30367003
8,3,10653,30367044
8,4,10681,30367120
8,4,10645,30367209
8,3,10657,30367412
9,4,10682,30567352
4,2,10638,36890972
6,4,10683,38323659
6,3,10667,38323740
10,4,10684,38372395
11,3,10685,38890692
12,4,10686,39503881
11,4,10687,39531539
6,4,10687,40768256
13,3,10684,41693266
14,4,10654,41842046
15,3,10653,42178110
15,3,10688,42178425
16,3,10635,42525567
17,3,10662,43605396
18,3,10641,44201162
18,3,10689,44201346
18,4,10661,44201560
19,4,10684,44280050
18,2,10690,44719385
20,2,10635,44989698
20,3,10637,44989942
20,3,10691,44990664
20,3,10692,44991276
20,3,10693,44991605
21,3,10651,45027907
21,3,10694,45027964
21,4,10695,45028019
22,3,10673,46051186
22,3,10696,46051715
23,4,10697,46324782
23,3,10665,46511772
23,3,10661,46512072
24,2,10698,46588757
24,2,10699,46588985
22,4,10700,46711399
25,4,10654,46746353
26,4,10645,46832296
26,2,10655,46832814
26,3,10701,46833447
26,4,10639,46833961
15,4,10679,46866649
23,4,10702,47132656
23,3,10643,47133768
23,3,10703,47135093
