user_id,raw_user_id,entity
0,XCsZ3hWa_6oP1WkWvK7pmg,u_XCsZ3hWa_6oP1WkWvK7pmg
1,0FbtB0ajpk8VZSVpC6KjGw,u_0FbtB0ajpk8VZSVpC6KjGw
2,nkN_do3fJ9xekchVC-v68A,u_nkN_do3fJ9xekchVC-v68A
3,q_QQ5kBBwlCcbL1s4NVK3g,u_q_QQ5kBBwlCcbL1s4NVK3g
4,UZ6YOaTiZ1lTZWKASIkVuA,u_UZ6YOaTiZ1lTZWKASIkVuA
5,GXn4ZsasLKh0qZ5g3nIqcQ,u_GXn4ZsasLKh0qZ5g3nIqcQ
6,BI4lPhrUpmEySIJUywjIjQ,u_BI4lPhrUpmEySIJUywjIjQ
7,5L0eiAkoQIVvI_XOjzhFpA,u_5L0eiAkoQIVvI_XOjzhFpA
8,mZokz37TaR5jFgMrx4WyFw,u_mZokz37TaR5jFgMrx4WyFw
9,NjRf_3nrhBvn8ZxRWtLAPQ,u_NjRf_3nrhBvn8ZxRWtLAPQ
10,F7vgCzNV-cSGvTn4szQDuQ,u_F7vgCzNV-cSGvTn4szQDuQ
11,2l0O1EI1m0yWjFo2zSt71w,u_2l0O1EI1m0yWjFo2zSt71w
12,B7ecAeAIrXg7sgmabS38pg,u_B7ecAeAIrXg7sgmabS38pg
13,CNdJaOdUjLIceVxhWcMNRA,u_CNdJaOdUjLIceVxhWcMNRA
14,cs1GMqTt5eGmLqQyPijYcw,u_cs1GMqTt5eGmLqQyPijYcw
15,LT27AG_SfvJZjy1nda4vfw,u_LT27AG_SfvJZjy1nda4vfw
16,2iSBJHVMNsolJ3AH1g_D7A,u_2iSBJHVMNsolJ3AH1g_D7A
17,xFbvPljRiYopjLF6G37Xfw,u_xFbvPljRiYopjLF6G37Xfw
18,IgYtTVyr-XOlyyMLMx9yXA,u_IgYtTVyr-XOlyyMLMx9yXA
19,PNa2-EjHe_ApIgZXD6kxBg,u_PNa2-EjHe_ApIgZXD6kxBg
20,cOSEvHWqoT5B4d3RcZthyw,u_cOSEvHWqoT5B4d3RcZthyw
21,RSMOVFq_J1TZGiieKY_G8Q,u_RSMOVFq_J1TZGiieKY_G8Q
22,9wLtMApHLswed6DbvXscwg,u_9wLtMApHLswed6DbvXscwg
