business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
18124,ZPwFVWoiqFOTbnhfSuK-ZQ,b_ZPwFVWoiqFOTbnhfSuK-ZQ,32.2736452,-110.9452620631,"32.2736452000,-110.9452620631",Safeway,Tucson,AZ
18125,dMGWB4TEfEhgInQefGimAw,b_dMGWB4TEfEhgInQefGimAw,32.3243979831,-110.975856185,"32.3243979831,-110.9758561850",Sushi On Oracle,Tucson,AZ
18126,ajfmcCilbPMKb_VxswIuQQ,b_ajfmcCilbPMKb_VxswIuQQ,32.2356629,-110.9459394,"32.2356629000,-110.9459394000",Bentley's House of Coffee & Tea,Tucson,AZ
18127,R3k8rXhJZqsrGDQd-oYJ3w,b_R3k8rXhJZqsrGDQd-oYJ3w,32.2367439,-110.9128029,"32.2367439000,-110.9128029000",SWS Electronics & Computers,Tucson,AZ
18128,9zlIJ7Q5W4AENjpGgaNSsQ,b_9zlIJ7Q5W4AENjpGgaNSsQ,32.2218605,-110.9320475,"32.2218605000,-110.9320475000",Rocco's Little Chicago,Tucson,AZ
18129,8fWtmzdexsuVnxuZx_vPVw,b_8fWtmzdexsuVnxuZx_vPVw,32.2456608,-110.8534076,"32.2456608000,-110.8534076000",China Thai Cuisine,Tucson,AZ
18130,70HV0S-FL7oaiSIN5Iwg-A,b_70HV0S-FL7oaiSIN5Iwg-A,32.2064876,-110.9305922,"32.2064876000,-110.9305922000",Golden Phoenix,Tucson,AZ
18131,e5gOtAH36l70fexYypnG5Q,b_e5gOtAH36l70fexYypnG5Q,32.260584,-110.9605172,"32.2605840000,-110.9605172000",El Mezon Del Cobre,Tucson,AZ
18132,J5a2ebSvwIStqCDZEp2E_g,b_J5a2ebSvwIStqCDZEp2E_g,32.2546522,-110.9447027,"32.2546522000,-110.9447027000",The Greek Patio,Tucson,AZ
18133,U06ky7tOjrwad_zx05D9yQ,b_U06ky7tOjrwad_zx05D9yQ,32.251016,-110.9042087,"32.2510160000,-110.9042087000",The Shelter Cocktail Lounge,Tucson,AZ
18134,fC8DHXpbNzlVTDo3ROboXg,b_fC8DHXpbNzlVTDo3ROboXg,32.2500969,-110.92534,"32.2500969000,-110.9253400000",The French Quarter,Tucson,AZ
18135,e3CnhtpEVpNISwOAWoxjJg,b_e3CnhtpEVpNISwOAWoxjJg,32.233565,-110.8394,"32.2335650000,-110.8394000000",Walmart Supercenter,Tucson,AZ
18136,KSpf-49YrOuFT0w0BLdY9g,b_KSpf-49YrOuFT0w0BLdY9g,32.3239731,-110.9273308,"32.3239731000,-110.9273308000",Anthony's In the Catalinas Restaurant,Tucson,AZ
18137,rgT1MuKGJHgdNqdm1zxJHw,b_rgT1MuKGJHgdNqdm1zxJHw,32.2212044,-110.8689195,"32.2212044000,-110.8689195000",See's Candies,Tucson,AZ
18138,xwKYBPO0ByGlkvNcr8FdqQ,b_xwKYBPO0ByGlkvNcr8FdqQ,32.2649298,-110.9105444,"32.2649298000,-110.9105444000",Le Rendez-vous,Tucson,AZ
18139,1dLWCD6CjSHD7PTfi5ZVNQ,b_1dLWCD6CjSHD7PTfi5ZVNQ,32.2269694,-110.857271,"32.2269694000,-110.8572710000",Dao's Tai Pan's,Tucson,AZ
18140,E66joroQ57qso7Hp_2vPGA,b_E66joroQ57qso7Hp_2vPGA,32.2566911,-110.9435683,"32.2566911000,-110.9435683000",Pho 88,Tucson,AZ
18141,IKMAgK2m6WRIViVFB2vAFQ,b_IKMAgK2m6WRIViVFB2vAFQ,32.2354086114,-110.9436272686,"32.2354086114,-110.9436272686",Miss Saigon,Tucson,AZ
18142,96myvjjiQW8ZFp4LrE1gXQ,b_96myvjjiQW8ZFp4LrE1gXQ,32.342479,-110.965218,"32.3424790000,-110.9652180000",Westward Look Wyndham Grand Resort and Spa,Tucson,AZ
18143,YSRM9nWQn40eg49tSiI-_Q,b_YSRM9nWQn40eg49tSiI-_Q,32.1999638054,-110.9651500358,"32.1999638054,-110.9651500358",Mi Nidito Restaurant,Tucson,AZ
18144,B10mqANgHvL8gBteo1UhAA,b_B10mqANgHvL8gBteo1UhAA,32.2273367,-110.9653331,"32.2273367000,-110.9653331000",Caruso's,Tucson,AZ
18145,aAyCUTc7y9ZIN1OZ7tGe6Q,b_aAyCUTc7y9ZIN1OZ7tGe6Q,32.2567563398,-110.9442074895,"32.2567563398,-110.9442074895",Yoshimatsu Japanese Eatery,Tucson,AZ
18146,p-P6Vwx5TVXgnk6mNcV0zA,b_p-P6Vwx5TVXgnk6mNcV0zA,32.301101,-110.9775504,"32.3011010000,-110.9775504000",Chantilly Tea Room & Gift Boutique,Tucson,AZ
18147,beV1_vL3qFiQCX4pc7KBUw,b_beV1_vL3qFiQCX4pc7KBUw,32.2352258,-110.8593661,"32.2352258000,-110.8593661000",Bookmans Entertainment Exchange,Tucson,AZ
18148,aYHjJJ64whQsxZjx5rUe_w,b_aYHjJJ64whQsxZjx5rUe_w,32.325494621,-110.9288778968,"32.3254946210,-110.9288778968",RA Sushi Bar Restaurant,Tucson,AZ
18149,RdOfczOGawEkwKbWn4SGhA,b_RdOfczOGawEkwKbWn4SGhA,32.2087926,-110.9213774,"32.2087926000,-110.9213774000",Reid Park Zoo,Tucson,AZ
18150,TFzKrlAKIz7h_TAgLaDW0w,b_TFzKrlAKIz7h_TAgLaDW0w,32.2364159,-110.9284201,"32.2364159000,-110.9284201000",Saga,Tucson,AZ
18151,x0eoomyyX1z7yeRcPglgSQ,b_x0eoomyyX1z7yeRcPglgSQ,32.2784527737,-110.9798923794,"32.2784527737,-110.9798923794",Sushi Hama Restaurant & Sushi Bar,Tucson,AZ
18152,C3t83b54TiCf64KdrkTiLQ,b_C3t83b54TiCf64KdrkTiLQ,32.2889624843,-110.9732302988,"32.2889624843,-110.9732302988",Forever 21,Tucson,AZ
18153,5YRHE2foNVmv1n8VIJcb-A,b_5YRHE2foNVmv1n8VIJcb-A,32.298151,-110.97738,"32.2981510000,-110.9773800000",Shogun Japanese Restaurant & Sushi Bar,Tucson,AZ
18154,F4Pk3sNtkPCYLColKYpuwQ,b_F4Pk3sNtkPCYLColKYpuwQ,32.2880438,-110.9452149,"32.2880438000,-110.9452149000",Starbucks,Tucson,AZ
18155,ZWQKlFu_fFzMkkn5mWkfSQ,b_ZWQKlFu_fFzMkkn5mWkfSQ,32.20631,-110.895103,"32.2063100000,-110.8951030000",Chapman Acura,Tucson,AZ
18156,xq7g2AzTzVLCv72NtnCEWA,b_xq7g2AzTzVLCv72NtnCEWA,32.2891365054,-110.975719057,"32.2891365054,-110.9757190570",Red Robin Gourmet Burgers,Tucson,AZ
18157,OZT2_Mwn31f_8yaPfU-vAg,b_OZT2_Mwn31f_8yaPfU-vAg,32.2349712,-110.8964297,"32.2349712000,-110.8964297000",Hertz Rent A Car,Tucson,AZ
18158,5vpqoHruyjHALHjxJLSJbA,b_5vpqoHruyjHALHjxJLSJbA,32.3081238,-110.8438037,"32.3081238000,-110.8438037000",Gavi Italian Restaurant,Tucson,AZ
18159,x9K0RfZaT_zlw6DklBDzjw,b_x9K0RfZaT_zlw6DklBDzjw,32.221667,-110.925833,"32.2216670000,-110.9258330000",Gavi Italian Restaurant,Tucson,AZ
18160,LZzDvgfpkd4nI3E4L9wF1w,b_LZzDvgfpkd4nI3E4L9wF1w,32.2257128,-110.9746238,"32.2257128000,-110.9746238000",El Charro Cafe,Tucson,AZ
18161,XlIuTI1NRLzLlp11x-PTHA,b_XlIuTI1NRLzLlp11x-PTHA,32.2314846722,-110.9582967684,"32.2314846722,-110.9582967684",Frog & Firkin,Tucson,AZ
18162,lS1dmSXpAtQqT04eRm9kiA,b_lS1dmSXpAtQqT04eRm9kiA,32.2314107,-110.9584407,"32.2314107000,-110.9584407000",No Anchovies,Tucson,AZ
18163,LFUndZacUo5keXKHNPk-vQ,b_LFUndZacUo5keXKHNPk-vQ,32.2642107,-110.9457997,"32.2642107000,-110.9457997000",Rosa's Mexican Food Restaurant,Tucson,AZ
18164,AnFDd2B4rt3J5fiTg3g3wg,b_AnFDd2B4rt3J5fiTg3g3wg,32.2880825,-110.945397,"32.2880825000,-110.9453970000",P.F. Chang's,Tucson,AZ
18165,D6N2WHxTqrqdnwsomJSFRg,b_D6N2WHxTqrqdnwsomJSFRg,32.227757,-110.9561904,"32.2277570000,-110.9561904000",Zachary's Pizza,Tucson,AZ
18166,yF0GaeHHr38Wo9GZf_clXA,b_yF0GaeHHr38Wo9GZf_clXA,32.2316594,-110.9571224,"32.2316594000,-110.9571224000",The Fat Greek,Tucson,AZ
18167,_qidWi35H30-Rjn74a6ORw,b__qidWi35H30-Rjn74a6ORw,32.2316507,-110.9594577,"32.2316507000,-110.9594577000",Cafe Paraiso,Tucson,AZ
18168,kuE88EeEQZLNG_GfDbib4w,b_kuE88EeEQZLNG_GfDbib4w,32.2504557,-110.9433920067,"32.2504557000,-110.9433920067",Karuna's Thai Plate,Tucson,AZ
18169,gnEyjxoBYQcP9Bz72C95YA,b_gnEyjxoBYQcP9Bz72C95YA,32.2265233298,-110.9658273239,"32.2265233298,-110.9658273239",Maloney's,Tucson,AZ
18170,l8yqThofpWGUs6lxOeIdOA,b_l8yqThofpWGUs6lxOeIdOA,32.222102,-110.8669802,"32.2221020000,-110.8669802000",Shish Kebab House of Tucson,Tucson,AZ
18171,duyoUwRNcsudbl9wlu25cA,b_duyoUwRNcsudbl9wlu25cA,32.3358331,-110.9747416,"32.3358331000,-110.9747416000",Safeway,Tucson,AZ
18172,rtykgAe3cXao_PuzgT8mPA,b_rtykgAe3cXao_PuzgT8mPA,32.2258543,-110.9654402,"32.2258543000,-110.9654402000",Bison Witches Bar & Deli,Tucson,AZ
18173,iGMS1iM71HLrZN3V_kqd2g,b_iGMS1iM71HLrZN3V_kqd2g,32.2366156,-110.9064231,"32.2366156000,-110.9064231000",Lucky Strike Bowl,Tucson,AZ
18174,F9jfjlNRuFk4WrMPdsr7CA,b_F9jfjlNRuFk4WrMPdsr7CA,32.2528088,-110.9443822,"32.2528088000,-110.9443822000",Lucky Wishbone,Tucson,AZ
18175,8Aavn4p0d-OX3GtHcLnGgQ,b_8Aavn4p0d-OX3GtHcLnGgQ,32.2507753,-110.9443092,"32.2507753000,-110.9443092000",Coffee X Change,Tucson,AZ
18176,zxa24DWUL8wYng2ekWYXTg,b_zxa24DWUL8wYng2ekWYXTg,32.259674,-110.9426267,"32.2596740000,-110.9426267000",Cost Cutters,Tucson,AZ
18177,b80oAdY9-wm11LrKZwavKA,b_b80oAdY9-wm11LrKZwavKA,32.2476671,-110.8532896,"32.2476671000,-110.8532896000",Savoy Opera House,Tucson,AZ
18178,OxBZqeYH5xuusEPp9ml7-g,b_OxBZqeYH5xuusEPp9ml7-g,32.1575975,-110.9771386,"32.1575975000,-110.9771386000",El Guero Canelo,Tucson,AZ
18179,n2N_GycHQUS5JkfsH63bcg,b_n2N_GycHQUS5JkfsH63bcg,32.233928,-110.839437,"32.2339280000,-110.8394370000",Walmart Vision & Glasses,Tucson,AZ
18180,WZUIlyefoUhuH_VkVCEyAw,b_WZUIlyefoUhuH_VkVCEyAw,32.325025,-110.928498,"32.3250250000,-110.9284980000",North Italia,Tucson,AZ
18181,Z4lwt5fK5-gINuWfI1aiRg,b_Z4lwt5fK5-gINuWfI1aiRg,32.118663,-110.797634,"32.1186630000,-110.7976340000",Saing Thai Cuisine,Tucson,AZ
18182,fpQEKdtFprof-RJx1MRR9g,b_fpQEKdtFprof-RJx1MRR9g,32.3387515,-111.0308964,"32.3387515000,-111.0308964000",Esporta Fitness,Tucson,AZ
18183,eN-Zrz1orLoqIb7D6mUMbg,b_eN-Zrz1orLoqIb7D6mUMbg,32.2285978,-110.9652632,"32.2285978000,-110.9652632000",Brooklyn Pizza Company,Tucson,AZ
18184,gJctImPPLma_aRICoi8ZKQ,b_gJctImPPLma_aRICoi8ZKQ,32.236327,-111.004177,"32.2363270000,-111.0041770000",Bianchi's Italian,Tucson,AZ
18185,-pRU97z3uPU_M7yUf5yzMg,b_-pRU97z3uPU_M7yUf5yzMg,32.1892611,-110.9656125,"32.1892611000,-110.9656125000",Micha's,Tucson,AZ
18186,LtPMiHSuC9Zvt7HxwXLShg,b_LtPMiHSuC9Zvt7HxwXLShg,32.22016,-110.8759292,"32.2201600000,-110.8759292000",Cactus Moon Cafe,Tucson,AZ
18187,9LnDMh72MLaM376zeomW-Q,b_9LnDMh72MLaM376zeomW-Q,32.2449025,-110.8537712,"32.2449025000,-110.8537712000",Cowpony Bar,Tucson,AZ
18188,P4sF9Ded3KsfNmQPdDPAUA,b_P4sF9Ded3KsfNmQPdDPAUA,32.3361676,-111.0583311,"32.3361676000,-111.0583311000",Bedroxx Bowling,Tucson,AZ
18189,5-C5RlquVu2JUeXXy-MGKw,b_5-C5RlquVu2JUeXXy-MGKw,32.2220989,-110.861155,"32.2220989000,-110.8611550000",Neo Malaysian Kitchen,Tucson,AZ
